;;;;;;;;;;;;;;;;;;ACR - observers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name of videosequence;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;;SSIM;VMAF;MEAN;Standard deviation;Coefficient of variation;Fair to better;;non-empty cells;MOS ? 3
Campfire FHD 10 Mbit/H264;NOTE: Subjective evaluation of references is available in second spreadsheet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireFHD10_0_1;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;;0.971;97.2;2.867;0.3428;11.96%;87%;;60;52
CampfireFHD10_0_2;3;2;3;3;3;2;2;2;3;2;3;2;3;3;2;2;3;2;2;2;2;2;2;3;3;2;3;3;2;2;2;2;2;2;3;2;2;2;3;2;3;2;3;3;2;2;3;2;2;3;3;2;2;3;3;2;2;3;3;2;;0.975;92.67;2.417;0.4972;20.57%;42%;;60;25
CampfireFHD10_0_3;3;2;2;2;3;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;3;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;;0.961;65.19;2.2;0.4034;18.34%;20%;;60;12
CampfireFHD10_0_5;2;2;2;2;2;3;3;2;2;1;2;1;3;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;0.945;31.4;2;0.451;22.55%;10%;;60;6
CampfireFHD10_0_75;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;;0.92;30.37;1.7;0.4621;27.18%;0%;;60;0
CampfireFHD10_1;1;2;1;1;1;2;2;1;1;1;2;1;2;1;1;1;2;1;1;1;2;2;2;1;2;1;1;1;2;1;1;2;1;1;1;2;2;1;1;1;2;1;2;1;1;1;2;1;1;1;2;2;2;1;2;1;1;1;2;1;;0.904;30.4;1.367;0.486;35.56%;0%;;60;0
Campfire FHD 15 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireFHD15_0_1;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;;0.985;94.94;3.117;0.3237;10.39%;100%;;60;60
CampfireFHD15_0_2;2;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;3;3;3;2;3;2;2;2;3;3;3;3;2;2;2;2;2;3;2;3;2;2;3;3;3;2;2;3;3;2;3;3;2;2;2;2;3;3;3;2;2;3;3;;0.945;48.69;2.517;0.5039;20.02%;52%;;60;31
CampfireFHD15_0_3;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;2;2;3;3;3;3;2;2;2;3;3;3;2;2;2;3;3;2;2;2;2;3;3;3;2;;0.937;43.93;2.4;0.494;20.58%;40%;;60;24
CampfireFHD15_0_5;2;2;2;2;3;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;3;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;1;2;;0.89;42.75;1.7;0.5304;31.20%;3%;;60;2
CampfireFHD15_0_75;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;3;1;2;1;2;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;2;;0.884;37.86;1.6;0.5272;32.95%;2%;;60;1
CampfireFHD15_1;1;1;1;2;2;2;2;2;2;1;2;1;1;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1;1;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;;0.861;30.29;1.333;0.4754;35.65%;0%;;60;0
Campfire FHD 5 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireFHD5_0_1;3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;;0.985;96.06;3.117;0.3724;11.95%;98%;;60;59
CampfireFHD5_0_2;3;3;3;3;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;2;2;2;2;3;2;2;3;3;3;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;2;3;3;2;;0.981;95.18;2.9;0.5431;18.73%;80%;;60;48
